English,Chinese,Vietnamese
Inspection Pro Â© {}. Powered by Tradebeyond,检验专业版 © {}. 由 Tradebeyond 提供支持,Inspection Pro Â© {}. Cung cấp bởi Tradebeyond
Update,更新,Cập nhật
Inspector,检验员,Thanh tra
"Camera permission denied message, Please grant permission",相机权限被拒绝，请授予权限,Thông báo quyền truy cập camera bị từ chối. Vui lòng cấp quyền
Please Scan the Environment Code,请扫描环境代码,Thông báo quyền truy cập camera bị từ chối. Vui lòng cấp quyền
Invalid Environment Code,环境代码无效,Thông báo quyền truy cập camera bị từ chối. Vui lòng cấp quyền
Failed to scan QR code,二维码扫描失败,Thông báo quyền truy cập camera bị từ chối. Vui lòng cấp quyền
Upload from Album,从相册上传,Tải lên từ Album
Forgot Password?,忘记密码？,Quên mật khẩu?
Use Your Fingerprint/ Face Recognition to Log in,使用指纹 / 人脸识别登录,Sử dụng vân tay/nhận dạng khuôn mặt để đăng nhập
Your device support biometric authentication.,您的设备支持生物识别认证。,Thiết bị của bạn hỗ trợ xác thực sinh trắc học.
Environment Code,环境代码,Mã môi trường
Username,用户名,Tên người dùng
Please enter your username,请输入您的用户名,Vui lòng nhập tên người dùng
Password,密码,Mật khẩu
Please enter your password,请输入您的密码,Vui lòng nhập mật khẩu
Error text for user name & password.,用户名或密码错误,Lỗi văn bản cho tên người dùng và mật khẩu.
Login,登录,Đăng nhập
Scan your fingerprint (or face or whatever) to authenticate,扫描您的指纹（或人脸等）进行身份验证,Quét dấu vân tay (hoặc khuôn mặt hoặc bất kỳ thứ gì) để xác thực
Bookings,预约,Đặt lịch
Reports,报告,Báo cáo
Sync,同步,Đồng bộ hóa
LOGOUT,退出登录,ĐĂNG XUẤT
Today,今天,Hôm nay
Tomorrow,明天,Ngày mai
Afterwards,之后,Sau đó
Past,上次,Trước đó
Item,产品,Mặt hàng
Defect Code,缺陷代码,Mã lỗi
Critical,严重,Nghiêm trọng
Major,主要,Lớn
Minor,次要,Nhỏ
Defective Unit,缺陷单位,Đơn vị bị lỗi
Total Defective Units,缺陷单位总数,Tổng số đơn vị bị lỗi
Add New,新增,Thêm mới
Contact Person,联系人,Người liên hệ
Go there,前往,Đi đến đó
Filter,筛选,Lọc
Clear,清除,Xóa
Apply,应用,Áp dụng
Search & Filter,搜索与筛选,Tìm kiếm & Lọc
Show Date,显示日期,Hiển thị Ngày
Filter by planned inspection date between:,按计划检验日期筛选：,Lọc theo ngày kiểm tra dự kiến ​​trong khoảng:
Filter by planned audit date between:,按计划审核日期筛选：,Lọc theo ngày kiểm toán dự kiến ​​trong khoảng:
Pick Date Range,选择日期范围,Chọn Khoảng Ngày
Filter by Factory,按工厂筛选,Lọc theo Nhà máy
Hide report that completed after below day(s),隐藏在以下天数后完成的报告,Ẩn báo cáo đã hoàn thành sau (các) ngày dưới đây
Outdated Report,过期报告,Báo cáo đã lỗi thời
Show,显示,Hiển thị
Hide,隐藏,Ẩn
Show Status,显示状态,Hiện Trạng Thái
All Factories,所有工厂,Tất Cả Nhà Máy
New,新建,Mới
In Progress,进行中,Đang Tiến Hành
Signed,已签名,Đã Ký
Submitted,已提交,Đã Gửi
Overdue,逾期,Quá Hạn
Uploaded,已上传,Đã Tải Lên
Uploading{},上传中 {},Đang Tải Lên{}
Booking Details,预约详情,Chi Tiết Đặt Hàng
Data Load Failed,数据加载失败,Tải Dữ Liệu Không Thành Công
Item No.,产品编号,Mã mặt hàng
Product Category,产品类别,Danh Mục Sản Phẩm
VPO No.,交易确认订单（VPO）编号,Mã VPO
Shipment No.,货运编号,Số Lô Hàng
Order Quantity,订单数量,Số Lượng Đơn Hàng
Order Carton Quantity,订单装箱数量,Số Lượng Thùng Đơn Hàng
Actual Carton Quantity,实际装箱数量,Số Lượng Thùng Thực Tế
Status,状态,Trạng Thái
Action,操作,Hành Động
Set,设置,Đặt
Item,产品,Mặt Hàng
No items,无产品,Không có mặt hàng nào
Create Report,创建报告,Tạo Báo Cáo
Booking Report,预约报告 ,Báo cáo lịch đặt
Defect Details,缺陷详情,Chi Tiết Lỗi
Checklist,检查清单,Danh Sách Kiểm Tra
CAPA,纠正与预防措施（CAPA）,CAPA
CAPA,纠正与预防措施（CAPA）,CAPA
Please enter CAPA for the test item.,请为该测试产品输入CAPA,Vui lòng nhập CAPA cho mặt hàng kiểm tra.
Review By,审核人,Đánh giá bởi
Reference,参考,Tham chiếu
Corrective Action,纠正措施,Hành động khắc phục
Due Date,截止日期,Ngày đến hạn
Responsible Person,负责人,Người chịu trách nhiệm
Status,状态,Trạng thái
Completion Date,完成日期,Ngày hoàn thành
Images & Attachments,图片与附件,Hình ảnh & Tệp đính kèm
Code,代码,Mã
Summary,总结,Tóm ​​tắt
Item Name,产品名称 ,Tên mặt hàng
Item Description,产品描述 ,Mô tả mặt hàng
AQL Information,抽样检验信息（AQL）,Thông tin AQL
AQL Info,抽样检验信息（AQL）,Thông tin AQL
Level,级别,Mức độ
Critical,严重,Nghiêm trọng
Major,主要,Lớn
Minor,次要,Nhỏ
Measurement Type,测量类型,Loại đo lường
Measurement Direction,测量方向,Hướng đo lường
Measurement System,测量系统,Hệ thống đo lường
Sample Size,样本量,Kích thước mẫu
Calculated,计算值,Tính toán
Fixed,固定值,Cố định
Actual,实际值,Thực tế
Defective Quantity,缺陷数量,Số lượng lỗi
Details,详情,Chi tiết
Defect Summary,缺陷总结,Tóm tắt lỗi
Accept,接受,Chấp nhận
Result,结果,Kết quả
Type,类型,Loại
Change,更改,Thay đổi
Format,格式,Định dạng
Notes/Instructions,备注 / 说明,Ghi chú/Hướng dẫn
Template,模板,Mẫu
Planned Date,计划日期,Ngày dự kiến
Planned Hour,计划时间,Giờ dự kiến
References,参考信息,Tham chiếu
Factory Name,工厂名称,Tên nhà máy
Customer,客户,Khách hàng
Vendor,供应商,Nhà cung cấp
Inspector,检验员,Thanh tra
Coordinator,协调员,Điều phối viên
All,全部,Tất cả
All Items,所有产品,Tất cả các mặt hàng
With Report,有报告,Có báo cáo
Without Report,无报告,Không có báo cáo
Delete Report,删除报告,Xóa báo cáo
Are you sure to delete this report and related attachment(s)? This action cannot be undone.,您确定要删除此报告及相关附件吗？此操作不可撤销。,Bạn có chắc chắn muốn xóa báo cáo này và các tệp đính kèm liên quan không? Hành động này không thể hoàn tác.
Delete,删除,Xóa
Cancel,取消,Hủy
Canceled,取消,Hủy
SELECT,选择,CHỌN
Done,完成,Xong
Confirm,确认,Xác nhận
No.,编号,Số
Name,名称,Tên
Module,模块,Mô-đun
Ref#,参考编号,Số tham chiếu
Section,章节,Phần
Description,描述,Mô tả
Item No. (Set),产品编号（套装）,Mã số mặt hàng (Bộ)
Comment,备注,Ghi chú
Production Quantity,生产数量,Số lượng sản xuất
Ordered,订购数,Đã đặt hàng
OK,确定,OK
Signed Date,签署日期,Ngày ký
Has not been signed,未签署,Chưa được ký
Location,地点,Địa điểm
Factory,工厂,Nhà máy
Loading...,加载中......,Đang tải...
Report Load Failed,报告加载失败,Tải báo cáo không thành công
No inspect items,无检验产品,Không có mặt hàng nào được kiểm tra
Booking Information,预约信息 ,Thông tin đặt hàng
Vendor,供应商,Nhà cung cấp
Customer,客户,Khách hàng
Inspection Party,检验方,Bên kiểm tra
Inspection Office,检验办公室,Phòng Kiểm tra
Carton Result,装箱结果,Kết quả Thùng carton
Carton Comments,装箱备注,Ghi chú về Thùng carton
Carton Check,装箱检查,Kiểm tra Thùng carton
Defect Result,缺陷结果,Kết quả Lỗi
Defect Comments,缺陷备注,Ghi chú về Lỗi
Measurement Result,测量结果,Kết quả Đo lường
Measurement Comments,测量备注,Ghi chú về Đo lường
{} Result,{} 结果,Kết quả {}
{} Comments,{} 备注,Ghi chú {}
Checklist Result,检查清单结果,Kết quả Danh sách Kiểm tra
Checklist Comments,检查清单备注,Ghi chú Danh sách Kiểm tra
Overall Result,总体结果,Kết quả tổng thể
Actual Hours,实际工时,Giờ thực tế
Inspection Date,检验日期,Ngày Kiểm tra
Shipment Released,出货放行,Lô hàng đã xuất xưởng
Fail Reason,失败原因,Lý do không đạt
Overall Comments,总体备注,Ghi chú Tổng thể
Sign,签署,Ký 
Camera,相机,Camera
Video,视频,Video
